Territorialidades;IDHM Renda 2010
Adamantina;0.772
Adolfo;0.71
Aguaí;0.703
Águas da Prata;0.75
Águas de Lindóia;0.725
Águas de Santa Bárbara;0.744
Águas de São Pedro;0.849
Agudos;0.705
Alambari;0.682
Alfredo Marcondes;0.682
Altair;0.698
Altinópolis;0.726
Alto Alegre;0.683
Alumínio;0.729
Álvares Florence;0.701
Álvares Machado;0.712
Álvaro de Carvalho;0.669
Alvinlândia;0.721
Americana;0.8
Américo Brasiliense;0.709
Américo de Campos;0.715
Amparo;0.78
Analândia;0.745
Andradina;0.762
Angatuba;0.693
Anhembi;0.681
Anhumas;0.683
Aparecida D'Oeste;0.697
Aparecida;0.735
Apiaí;0.662
Araçariguama;0.717
Araçatuba;0.782
Araçoiaba da Serra;0.751
Aramina;0.723
Arandu;0.675
Arapeí;0.634
Araraquara;0.788
Araras;0.763
Arco-Íris;0.671
Arealva;0.718
Areias;0.627
Areiópolis;0.686
Ariranha;0.73
Artur Nogueira;0.745
Arujá;0.761
Aspásia;0.699
Assis;0.771
Atibaia;0.786
Auriflama;0.746
Avaí;0.674
Avanhandava;0.688
Avaré;0.751
Bady Bassitt;0.737
Balbinos;0.69
Bálsamo;0.746
Bananal;0.693
Barão de Antonina;0.676
Barbosa;0.676
Bariri;0.736
Barra Bonita;0.762
Barra do Chapéu;0.617
Barra do Turvo;0.625
Barretos;0.762
Barrinha;0.711
Barueri;0.791
Bastos;0.696
Batatais;0.766
Bauru;0.8
Bebedouro;0.756
Bento de Abreu;0.706
Bernardino de Campos;0.713
Bertioga;0.727
Bilac;0.743
Birigui;0.743
Biritiba-Mirim;0.71
Boa Esperança do Sul;0.692
Bocaina;0.741
Bofete;0.7
Boituva;0.757
Bom Jesus dos Perdões;0.716
Bom Sucesso de Itararé;0.605
Boracéia;0.723
Borá;0.712
Borborema;0.71
Borebi;0.674
Botucatu;0.79
Bragança Paulista;0.772
Braúna;0.725
Brejo Alegre;0.702
Brodowski;0.738
Brotas;0.724
Buri;0.642
Buritama;0.736
Buritizal;0.743
Cabrália Paulista;0.667
Cabreúva;0.717
Caçapava;0.754
Cachoeira Paulista;0.733
Caconde;0.701
Cafelândia;0.714
Caiabu;0.682
Caieiras;0.74
Caiuá;0.665
Cajamar;0.713
Cajati;0.658
Cajobi;0.714
Cajuru;0.693
Campina do Monte Alegre;0.687
Campinas;0.829
Campo Limpo Paulista;0.733
Campos do Jordão;0.761
Campos Novos Paulista;0.67
Cananéia;0.677
Canas;0.646
Cândido Mota;0.701
Cândido Rodrigues;0.747
Canitar;0.658
Capão Bonito;0.675
Capela do Alto;0.673
Capivari;0.744
Caraguatatuba;0.735
Carapicuíba;0.721
Cardoso;0.695
Casa Branca;0.727
Cássia dos Coqueiros;0.68
Castilho;0.688
Catanduva;0.767
Catiguá;0.734
Cedral;0.749
Cerqueira César;0.71
Cerquilho;0.758
Cesário Lange;0.715
Charqueada;0.72
Chavantes;0.713
Clementina;0.704
Colina;0.72
Colômbia;0.689
Conchal;0.699
Conchas;0.725
Cordeirópolis;0.754
Coroados;0.704
Coronel Macedo;0.653
Corumbataí;0.728
Cosmópolis;0.746
Cosmorama;0.705
Cotia;0.789
Cravinhos;0.737
Cristais Paulista;0.723
Cruzália;0.698
Cruzeiro;0.742
Cubatão;0.716
Cunha;0.672
Descalvado;0.74
Diadema;0.717
Dirce Reis;0.686
Divinolândia;0.72
Dobrada;0.691
Dois Córregos;0.725
Dolcinópolis;0.699
Dourado;0.718
Dracena;0.752
Duartina;0.716
Dumont;0.72
Echaporã;0.719
Eldorado;0.633
Elias Fausto;0.701
Elisiário;0.711
Embaúba;0.723
Embu-Guaçu;0.713
Embu;0.7
Emilianópolis;0.69
Engenheiro Coelho;0.72
Espírito Santo do Pinhal;0.784
Espírito Santo do Turvo;0.675
Estiva Gerbi;0.716
Estrela D'Oeste;0.712
Estrela do Norte;0.693
Euclides da Cunha Paulista;0.663
Fartura;0.699
Fernandópolis;0.767
Fernando Prestes;0.746
Fernão;0.668
Ferraz de Vasconcelos;0.691
Flora Rica;0.668
Floreal;0.71
Flórida Paulista;0.702
Florínia;0.678
Franca;0.749
Francisco Morato;0.659
Franco da Rocha;0.702
Gabriel Monteiro;0.721
Gália;0.684
Garça;0.737
Gastão Vidigal;0.727
Gavião Peixoto;0.687
General Salgado;0.734
Getulina;0.696
Glicério;0.735
Guaiçara;0.697
Guaimbê;0.675
Guaíra;0.759
Guapiaçu;0.728
Guapiara;0.634
Guaraçaí;0.699
Guaraci;0.698
Guarani D'Oeste;0.682
Guarantã;0.698
Guararapes;0.727
Guararema;0.729
Guará;0.71
Guaratinguetá;0.764
Guareí;0.692
Guariba;0.712
Guarujá;0.729
Guarulhos;0.746
Guatapará;0.724
Guzolândia;0.676
Herculândia;0.68
Holambra;0.815
Hortolândia;0.716
Iacanga;0.721
Iacri;0.701
Iaras;0.664
Ibaté;0.681
Ibirarema;0.692
Ibirá;0.741
Ibitinga;0.738
Ibiúna;0.7
Icém;0.716
Iepê;0.7
Igaraçu do Tietê;0.691
Igarapava;0.809
Igaratá;0.683
Iguape;0.691
Ilhabela;0.739
Ilha Comprida;0.696
Ilha Solteira;0.786
Indaiatuba;0.791
Indiana;0.714
Indiaporã;0.714
Inúbia Paulista;0.688
Ipaussu;0.713
Iperó;0.68
Ipeúna;0.737
Ipiguá;0.696
Iporanga;0.637
Ipuã;0.759
Iracemápolis;0.742
Irapuã;0.688
Irapuru;0.691
Itaberá;0.652
Itaí;0.692
Itajobi;0.727
Itaju;0.696
Itanhaém;0.716
Itaóca;0.627
Itapecerica da Serra;0.699
Itapetininga;0.728
Itapeva;0.702
Itapevi;0.687
Itapirapuã Paulista;0.595
Itapira;0.75
Itápolis;0.738
Itaporanga;0.681
Itapuí;0.716
Itapura;0.682
Itaquaquecetuba;0.665
Itararé;0.668
Itariri;0.642
Itatiba;0.788
Itatinga;0.685
Itirapina;0.734
Itirapuã;0.673
Itobi;0.697
Itupeva;0.75
Itu;0.782
Ituverava;0.768
Jaborandi;0.679
Jaboticabal;0.778
Jacareí;0.749
Jaci;0.7
Jacupiranga;0.687
Jaguariúna;0.782
Jales;0.75
Jambeiro;0.727
Jandira;0.738
Jardinópolis;0.728
Jarinu;0.723
Jaú;0.768
Jeriquara;0.68
Joanópolis;0.707
João Ramalho;0.701
José Bonifácio;0.752
Júlio Mesquita;0.659
Jumirim;0.721
Jundiaí;0.834
Junqueirópolis;0.727
Juquiá;0.654
Juquitiba;0.68
Lagoinha;0.686
Laranjal Paulista;0.732
Lavínia;0.698
Lavrinhas;0.665
Leme;0.729
Lençóis Paulista;0.743
Limeira;0.761
Lindóia;0.722
Lins;0.762
Lorena;0.736
Lourdes;0.697
Louveira;0.783
Lucélia;0.728
Lucianópolis;0.736
Luís Antônio;0.709
Luiziânia;0.682
Lupércio;0.679
Lutécia;0.67
Macatuba;0.763
Macaubal;0.72
Macedônia;0.705
Magda;0.724
Mairinque;0.721
Mairiporã;0.767
Manduri;0.73
Marabá Paulista;0.65
Maracaí;0.711
Marapoama;0.736
Mariápolis;0.684
Marília;0.768
Marinópolis;0.681
Martinópolis;0.703
Matão;0.766
Mauá;0.721
Mendonça;0.72
Meridiano;0.717
Mesópolis;0.674
Miguelópolis;0.712
Mineiros do Tietê;0.719
Miracatu;0.645
Mira Estrela;0.697
Mirandópolis;0.732
Mirante do Paranapanema;0.67
Mirassolândia;0.704
Mirassol;0.748
Mococa;0.756
Mogi das Cruzes;0.762
Mogi Guaçu;0.74
Mogi Mirim;0.767
Mombuca;0.746
Monções;0.731
Mongaguá;0.719
Monte Alegre do Sul;0.752
Monte Alto;0.746
Monte Aprazível;0.781
Monte Azul Paulista;0.733
Monte Castelo;0.706
Monteiro Lobato;0.692
Monte Mor;0.713
Morro Agudo;0.716
Morungaba;0.726
Motuca;0.685
Murutinga do Sul;0.703
Nantes;0.655
Narandiba;0.659
Natividade da Serra;0.664
Nazaré Paulista;0.681
Neves Paulista;0.737
Nhandeara;0.755
Nipoã;0.701
Nova Aliança;0.71
Nova Campina;0.598
Nova Canaã Paulista;0.673
Nova Castilho;0.694
Nova Europa;0.718
Nova Granada;0.727
Nova Guataporanga;0.707
Nova Independência;0.675
Novais;0.712
Nova Luzitânia;0.705
Nova Odessa;0.755
Novo Horizonte;0.741
Nuporanga;0.73
Ocauçu;0.679
Óleo;0.713
Olímpia;0.737
Onda Verde;0.693
Oriente;0.717
Orindiúva;0.719
Orlândia;0.765
Osasco;0.776
Oscar Bressane;0.713
Osvaldo Cruz;0.74
Ourinhos;0.753
Ouroeste;0.717
Ouro Verde;0.666
Pacaembu;0.717
Palestina;0.717
Palmares Paulista;0.698
Palmeira D'Oeste;0.72
Palmital;0.727
Panorama;0.724
Paraguaçu Paulista;0.717
Paraibuna;0.709
Paraíso;0.751
Paranapanema;0.697
Paranapuã;0.712
Parapuã;0.693
Pardinho;0.718
Pariquera-Açu;0.682
Parisi;0.72
Patrocínio Paulista;0.696
Paulicéia;0.692
Paulínia;0.8
Paulistânia;0.683
Paulo de Faria;0.721
Pederneiras;0.738
Pedra Bela;0.671
Pedranópolis;0.698
Pedregulho;0.716
Pedreira;0.75
Pedrinhas Paulista;0.749
Pedro de Toledo;0.654
Penápolis;0.748
Pereira Barreto;0.728
Pereiras;0.717
Peruíbe;0.73
Piacatu;0.681
Piedade;0.694
Pilar do Sul;0.674
Pindamonhangaba;0.745
Pindorama;0.726
Pinhalzinho;0.707
Piquerobi;0.669
Piquete;0.711
Piracaia;0.758
Piracicaba;0.797
Pirajuí;0.734
Piraju;0.74
Pirangi;0.735
